No.,CÓDIGO IATA,CÓDIGO OACI,AEROPUERTO,ESTADO,MUNICIPIO,CONCESIONARIO/PERMISIONARIO U OPERADOR,"GRUPO
OPERADOR PERMISIONARIO"
71,TRC,MMTC,TORREÓN,COAHUILA,TORREON,"AEROPUERTO DE TORREÓN, S.A. DE C.V.",OMA
72,TGZ,MMTG,TUXTLA GUTIÉRREZ,CHIAPAS,CHIAPA DE CORZO,"SOCIEDAD OPERADORA DEL AEROPUERTO INTERNACIONAL ÁNGEL ALBINO CORZO, S.A. DE C.V. (SOAIAAC)",PARAESTATAL
73,UPN,MMPN,URUAPAN,MICHOACAN,URUAPAN,AEROPUERTOS Y SERVICIOS AUXILIARES,ASA
74,VER,MMVR,VERACRUZ,VERACRUZ,VERACRUZ,"AEROPUERTO DE VERACRUZ, S.A. DE C.V.",ASUR
75,VSA,MMVA,VILLAHERMOSA,TABASCO,DOS MONTES VILLAHERMOSA,"AEROPUERTO DE VILLAHERMOSA, S.A. DE C.V.",ASUR
76,ZCL,MMZC,ZACATECAS,ZACATECAS,VICTOR ROSALES CALERA,"AEROPUERTO DE ZACATECAS, S.A. DE C.V.",OMA
77,ZMM,MMZM,ZAMORA,MICHOACAN,ZAMORA,GOBIERNO DEL ESTADO DE MICHOACÁN,ESTATAL
78,AIFA,MMSM,SANTA LUCÍA,ESTADO DE MÉXICO, ZUMPANGO,AEROPUERTO INTERNACIONAL FELIPE ÁNGELES S.A. DE C.V.,AIFA
,,,,,,,
,,N/D,No Disponible,,,,
,,,,,,,
,,,,,,,
