"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PCN","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW"
"2024/04/18","00164.07","H","AL","AL91","BIRMINGHAM","US","H2",80,80,"ALUMINUM","","NONE",,"","","","","","","",,,,
"2024/04/18","00164.08","H","AL","AL21","BIRMINGHAM","US","H1",80,45,"CONC","","NONE",,"","","","","","","",,,,
"2024/04/18","00164.11","H","AL","AL38","BIRMINGHAM","US","H1",60,60,"ALUMINUM","","NONE",,"","","","","PERI","OWNER","2004/09/29",,,,
"2024/04/18","00164.12","H","AL","0AL8","BIRMINGHAM","US","H1",50,50,"ASPH","","NONE",,"","","","","","FAA-EST IMAGERY","2015/02/06",,,,
"2024/04/18","00164.16","H","AL","AL45","BIRMINGHAM","US","H1",40,40,"CONC","","NONE",,"","","","","PERI","","",,,,
"2024/04/18","00164.18","H","AL","AL66","BIRMINGHAM","US","H1",64,64,"CONC","","NONE",,"","","","","","","",,,,
"2024/04/18","00164.19","H","AL","AL65","BIRMINGHAM","US","H1",40,40,"CONC","","NONE",,"","","","","PERI","","",,,,
"2024/04/18","00164.9","A","AL","AL40","BIRMINGHAM","US","01/19",1500,15,"TURF-GRVL","","NONE",,"","","","","","","",,,,
"2024/04/18","00170.","A","AL","AL29","BLOUNTSVILLE","US","16/34",2500,100,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00174.","H","AL","1AL0","BOAZ","US","H1",40,40,"CONC","","NONE",,"","","","","PERI","FAA-EST IMAGERY","2021/03/16",,,,
"2024/04/18","00174.02","A","AL","8AL3","BOAZ","US","09/27",1300,80,"TURF","GOOD","NONE",,"","","","","","OWNER","2011/04/15",,,,
"2024/04/18","00180.","A","AL","3AL6","ODENVILLE","US","16/34",1000,50,"TURF","GOOD","NONE",,"","","","","","","",,,,
"2024/04/18","00183.0","A","AL","AL30","BREMEN","US","16/34",3279,60,"TURF","GOOD","NONE",,"","","","","","","",,,,
"2024/04/18","00186.","A","AL","12J","BREWTON","US","06/24",5136,150,"ASPH","FAIR","NONE",,"","","","","","3RD PARTY SURVEY","2008/11/06",40,60,,
"2024/04/18","00186.","A","AL","12J","BREWTON","US","12/30",5001,150,"ASPH","POOR","NONE",,"","","","","MED","3RD PARTY SURVEY","2020/03/20",40,60,,
"2024/04/18","00186.01","H","AL","0AL6","BREWTON","US","H1",50,50,"CONC","","NONE",,"","","","","","OWNER","2011/07/29",,,,
"2024/04/18","00189.","H","AL","10AL","BRIDGEPORT","US","H1",80,80,"CONC","","NONE",,"","","","","PERI","FAA-EST IMAGERY","2015/08/02",,,,
"2024/04/18","00199.003","H","AL","42AL","BUTLER","US","H1",60,60,"CONC","","NONE",,"","","","","","","",,,,
"2024/04/18","00199.1","A","AL","09A","BUTLER","US","12/30",4082,80,"ASPH","POOR","NONE",,"","","","","MED","3RD PARTY SURVEY","2014/11/25",15,,,
"2024/04/18","00207.1","A","AL","61A","CAMDEN","US","18/36",4303,80,"ASPH","FAIR","AFSC",,"","","","","MED","3RD PARTY SURVEY","2015/01/29",27,,,
"2024/04/18","00209.16","H","AL","AL01","CARROLLTON","US","H1",30,30,"CONC-GRVL","","NONE",,"","","","","","","",,,,
"2024/04/18","00210.","A","AL","AL32","CEDAR BLUFF","US","04/22",2600,75,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00214.055","H","AL","81AL","CENTREVILLE","US","H1",30,30,"CONC","GOOD","NONE",,"","","","","PERI","OWNER","2021/08/18",,,,
"2024/04/18","00218.11","A","AL","AL27","CENTRE","US","18/36",2000,50,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00218.12","A","AL","PYP","CENTRE","US","07/25",5500,100,"ASPH","GOOD","AFSC",,"","","","","MED","3RD PARTY SURVEY","2009/12/08",,,,
"2024/04/18","00218.7","A","AL","0A8","CENTREVILLE","US","10/28",4206,80,"ASPH","EXCELLENT","AFSC",,"","","","","MED","FAA","2009/05/20",18,,,
"2024/04/18","00225.","A","AL","5AL1","CHAPMAN","US","17/35",3000,100,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00226.5","A","AL","5R1","CHATOM","US","12/30",4002,80,"ASPH","FAIR","NONE",,"","","","","MED","ARPTS CONTRACTOR","2013/06/05",15,,,
"2024/04/18","00226.51","A","AL","6AL6","CHATOM","US","10/28",2500,150,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00226.52","H","AL","39AL","CHATOM","US","H1",40,40,"CONC","EXCELLENT","NONE",,"","","","","","OWNER","2023/09/13",,,,
"2024/04/18","00228.","H","AL","35AL","CITRONELLE","US","H1",40,40,"CONC","GOOD","NONE",,"","","","","PERI","OWNER","2011/09/02",,,,
"2024/04/18","00233.","A","AL","02A","CLANTON","US","08/26",4007,100,"ASPH","GOOD","NONE",,"","","","","MED","3RD PARTY SURVEY","2015/01/15",16,,,
"2024/04/18","00233.1","A","AL","01AL","CLANTON","US","N/S",2400,60,"TURF","","NONE",,"","","","","LOW","OWNER","2011/07/19",,,,
"2024/04/18","00233.13","H","AL","8AL0","CLANTON","US","H1",26,26,"CONC","","NONE",,"","","","","","","",,,,
"2024/04/18","00233.2","H","AL","5AL4","CLANTON","US","H1",40,40,"CONC","","NONE",,"","","","","","","",,,,
"2024/04/18","00234.","A","AL","11A","CLAYTON","US","10/28",5010,80,"ASPH","EXCELLENT","AFSC",,"","","","","HIGH","3RD PARTY SURVEY","2008/10/30",,,,
"2024/04/18","00241.","A","AL","1AL2","COLUMBIANA","US","05/23",3751,60,"TURF","GOOD","NONE",,"","","","","","OWNER","2014/03/25",,,,
"2024/04/18","00241.19","H","AL","91AL","COLUMBIANA","US","H1",40,40,"CONC","GOOD","NONE",,"","","","","","","",,,,
"2024/04/18","00244.7","H","AL","AL13","COTTONTON","US","H1",50,50,"CONC","","NONE",,"","","","","PERI","","",,,,
"2024/04/18","00245.","A","AL","9A4","COURTLAND","US","13/31",4994,100,"CONC","POOR","NONE",,"","","","","HIGH","3RD PARTY SURVEY","2009/12/01",,,,
"2024/04/18","00245.","A","AL","9A4","COURTLAND","US","18/36",3484,150,"CONC","POOR","NONE",,"","","","","","3RD PARTY SURVEY","2009/12/01",,,,
"2024/04/18","00245.6","A","AL","AL51","CRAWFORD","US","12/30",1860,50,"TURF","","NONE",,"","","","","","OWNER","2011/07/18",,,,
"2024/04/18","00246.","A","AL","15A","CREOLA","US","03/21",2000,180,"TURF","GOOD","NONE",,"","","","","NSTD","","",,,,
"2024/04/18","00248.3","A","AL","CMD","CULLMAN","US","02/20",5500,100,"ASPH","EXCELLENT","GRVD",,"","","","","MED","3RD PARTY SURVEY","2022/08/25",30,,,
"2024/04/18","00248.32","H","AL","3AL9","CULLMAN","US","H1",50,50,"CONC","","NONE",,"","","","","","FAA-EST IMAGERY","2013/11/28",,,,
"2024/04/18","00249.","H","AL","5AL6","DADEVILLE","US","H1",30,30,"CONC","","NONE",,"","","","","PERI","","",,,,
"2024/04/18","00249.4","H","AL","30AL","DANVILLE","US","H1",60,60,"CONC","","NONE",,"","","","","FLD","OWNER","2010/11/22",,,,
"2024/04/18","00250.1","A","AL","4R9","DAUPHIN ISLAND","US","12/30",3000,80,"ASPH","FAIR","NONE",,"","","","","MED","3RD PARTY SURVEY","2021/05/17",30,,,
"2024/04/18","00250.13","H","AL","6AL8","DAPHNE","US","H1",40,40,"CONC","","NONE",,"","","","","PERI","OWNER","2017/09/01",,,,
"2024/04/18","00250.2","A","AL","4AL3","DAPHNE","US","09/27",2600,60,"TURF","","NONE",,"","","","","","OWNER","2014/03/20",,,,
"2024/04/18","00250.21","A","AL","54AL","DAPHNE","US","16/34",2300,80,"TURF","","NONE",,"","","","","","OWNER","2021/07/01",,,,
"2024/04/18","00251.","A","AL","DCU","DECATUR","US","18/36",6107,100,"ASPH","FAIR","GRVD",35,"F","B","X","T","HIGH","STATE","2006/01/12",75,125,150,
"2024/04/18","00251.02","H","AL","1AL1","DECATUR","US","H1",51,51,"ASPH","","NONE",,"","","","","","FAA-EST IMAGERY","2015/10/29",,,,
"2024/04/18","00254.","A","AL","DYA","DEMOPOLIS","US","04/22",5002,100,"ASPH","GOOD","NONE",,"","","","","MED","3RD PARTY SURVEY","2010/01/10",30,38,60,
"2024/04/18","00254.01","H","AL","AL14","DEMOPOLIS","US","H1",50,50,"CONC","","NONE",,"","","","","PERI","","",,,,
"2024/04/18","00266.21","H","AL","AL20","DOTHAN","US","H1",40,40,"CONC","FAIR","NONE",,"","","","","PERI","FAA-EST IMAGERY","2018/12/28",,,,
"2024/04/18","00266.21","H","AL","AL20","DOTHAN","US","H2",56,56,"CONC","FAIR","NONE",,"","","","","","FAA-EST IMAGERY","2018/12/28",,,,
"2024/04/18","00266.22","H","AL","AL59","DOTHAN","US","H1",60,60,"CONC","","NONE",,"","","","","PERI","FAA-EST IMAGERY","2013/04/09",,,,
"2024/04/18","00267.","A","AL","DHN","DOTHAN","US","14/32",8499,150,"ASPH","GOOD","GRVD",34,"F","B","X","T","HIGH","3RD PARTY SURVEY","2012/06/30",75,105,190,
