id,latitude,longitude,source_ref,alt_name,local_ref,wikipedia,icao,wikidata,addr:housenumber,name:fr,addr:state,name:en,type,ref,gnis:feature_type,landuse,ele,gnis:feature_id,operator:type,addr:postcode,gnis:created,military,addr:city,website,name,source,note,name:ru,phone,gnis:county_name,addr:street,operator
356155734,46.5777819,-91.4565461,geonames.usgs.gov,,,,,,,,WI,,,,,,347,1582022,,,,,,,Bayfield County Airport,,,,,,,
356211633,66.0166401,-149.054292,,,,en:Stevens Village Airport,PFSV,Q4442567,,,,,,,,,,,,,,,,,Stevens Village Airport,,,,,,,
356298515,12.1312561,-68.2644952,,Flamingo Airport,,nl:Bonaire International Airport,TNCB,Q1430982,,,,,,BON,,,6,,,,,,,https://bonaireinternationalairport.com/,Bonaire International Airport,,,,,,,
356370217,-11.0264364,-48.5755837,,Aeroporto do Brejinho de Nazaré,,pt:Aeroporto de Brejinho de Nazaré,,,,,,,,,,,,,,,,,,,Aeroporto de Brejinho de Nazaré,,,,,,,
356387446,41.8248288,-4.8937774,,,,es:Aeródromo de El Carrascal,LEVB,Q17462676,,,,,,,,,850,,,,,,,,Aeródromo El Carrascal,,,,,,,
356387447,41.7849719,-4.8646219,,,,es:Aeródromo de El Carrascalejo,LETZ,Q5659279,,,,,,,,,,,,,,,,,Aeródromo Torozos,,,,,,,
356387448,42.5926214,-4.2896434,,,,,LERP,,,,,,,,,,,,,,,,,,Aeródromo de Herrera de Pisuerga,,,,,,,
356387449,42.2654395,-4.6473086,,,,,,,,,,,,,,,,,,,,,,,Campo de vuelo Villoldo,,,,+34 979 725988,,,
356387450,42.4963197,-5.6814981,,,,,LEZS,,,,,,,,,,,,,,,,,,Chozas de Abajo,,,,,,,
356387841,42.6325166,-3.3117525,,,,,LEDB,,,,,,,,,,,,private,,,,,,Aeródromo de La Vid de Bureba (AEROLAVID),,,,+34 639171030,,,Aerolavid
356497642,68.9299753,-137.2343161,,,YUA,,CYUA,,,,,,,,,,,,,,,,,,Shingle Point Airfield,ourairports.com,Abandoned/closed,,,,,
356582794,36.1825502,140.4168241,,,,ja:百里飛行場,RJTF,,,,,Ibaraki Airport,,,,,42,,,,,,,,茨城空港,wikipedia,,,,,,
356682493,10.557801,-71.7271701,,Aeropuerto Internacional de Las Piedras,,es:Aeropuerto Internacional de La Chinita,SVMC,Q1335087,,,Zulia,La Chinita International Airport,civil,,airport,,72,,,4001,,,Maracaibo,,Aeropuerto Internacional de La Chinita,aerial_imagery,,,+58-261-7352723,,Av. Don Manuel Belloso,Instituto Autónomo de Aeropuertos del Estado Zulia
356725163,36.7128345,5.0688579,,,,fr:Aéroport de Béjaïa - Soummam - Abane Ramdane,DAAE,Q2875809,,Aeroport De Bejaia Soummam Abane Ramdane,,Soummam Abane Ramdane Airport,,,,,90,,,,,,,,Aeroport De Bejaia Soummam Abane Ramdane,IATA;wikipedia;ouraiports.com;Bing,,,+213 34 211 638,,,Etablissement de Gestion de Services Aéroportuaires
356783254,46.1371209,-89.6490862,,,,en:Boulder Junction Airport,KBDJ,Q14714413,,,WI,,,,,,507,1581896,,,,,,,Boulder Junction Airport,,,,,,,
356783306,35.4314009,8.1248876,,مطار تبسة,,ar:مطار الشيخ العربي التبسي,DABS,Q1708790,,Aéroport de Tébessa - Cheikh Larbi Tébessi,,Cheikh Larbi Tebessi Airport,,,,,,,,,,,,,Aéroport de Tébessa - Cheikh Larbi Tébessi,,,,,,,مؤسسة تسيير مصالح مطارات الجزائر
356825273,39.78235,116.3877303,,,,,,Q1200842,,,,Nanyuan Air Base,,,,military,,,,,,airfield,,,北京南苑机场,,已停用,,,,,
356956832,23.3195764,112.9663469,,,,,,,,,,,,,,military,,,,,,airfield,,,范湖机场,,,,,,,
356965080,40.5904837,-73.8809214,,,,,,Q61676331,,,,,,,,,,,government,,,,,,NYPD Air Operations Heliport (Floyd Bennett Field),,,,,,,New York Police Department
356994112,42.5441116,26.673456,,,,,,,,,,Selskostopansko Airfield,,,,,,,,,,,,,Селскостопанско летище,,,,,,,
