airport,minName,minEle,minRunway,minICAO,minIATA,minWebsite,minOSM,LAT,LON
http://www.wikidata.org/entity/Q183494,Johan Adolf Pengel International Airport,59,11/29,SMJP,PBM,http://www.japi-airport.com/,,-55.187783333,5.452830555
http://www.wikidata.org/entity/Q56215,Nusawiru Airport,5,,WI1A,CJN,,,108.48993889,-7.72038889
http://www.wikidata.org/entity/Q56216,Tunggul Wulung Airport,26,,WIHL,CXP,,,109.05,-7.633333333
http://www.wikidata.org/entity/Q56935,Tiruchirapalli Airport,88,,VOTR,TRZ,https://www.aai.aero/en/airports/tiruchirapalli,,78.714722,10.765833
http://www.wikidata.org/entity/Q59633,Svalbard Airport,94,10/28,ENSB,LYR,https://avinor.no/en/airport/svalbard-airport/,,15.465555555,78.246111111
http://www.wikidata.org/entity/Q389079,Ferrara-San Luca Airport,6,,LIPF,,,,11.61361111,44.8125
http://www.wikidata.org/entity/Q389241,Bologna Guglielmo Marconi Airport,38,12/30,LIPE,BLQ,http://www.bologna-airport.it,,11.288666666,44.535444444
http://www.wikidata.org/entity/Q389327,Pula Airport,274,09/27,LDPL,PUY,http://www.airport-pula.hr,,13.922222222,44.893611111
http://www.wikidata.org/entity/Q385356,Sri Guru Ram Dass Jee International Airport,756,16/34,VIAR,ATQ,https://www.aai.aero/en/airports/amritsar,,74.799166666,31.707777777
http://www.wikidata.org/entity/Q385466,Grenora Centennial Airport,654,,,,,,-103.926,48.6231
http://www.wikidata.org/entity/Q386749,Lucky Lake Airport,2084,,,,,,-107.131,50.9942
http://www.wikidata.org/entity/Q387048,Asahikawa Airport,210,16/34,RJEC,AKJ,https://www.aapb.co.jp/,,142.4475,43.670833333
http://www.wikidata.org/entity/Q387108,Whale Cove Airport,40,,CYXN,YXN,,,-92.598055555,62.24
http://www.wikidata.org/entity/Q8719,Birmingham Airport,328,15/33,EGBB,BHX,https://www.birminghamairport.co.uk/,,-1.748055555,52.453888888
http://www.wikidata.org/entity/Q8721,Glasgow Airport,26,05/23,EGPF,GLA,https://www.glasgowairport.com/,,-4.433055555,55.871944444
http://www.wikidata.org/entity/Q47724,Con Dao Airport,2,11/29,VVCS,VCS,https://www.vietnamairport.vn/condaoairport/,,106.628888888,8.7325
http://www.wikidata.org/entity/Q49249,Husein Sastranegara International Airport,662,,WICC,BDO,http://www.huseinsastranegara-airport.co.id/,,107.576388888,-6.900555555
http://www.wikidata.org/entity/Q8994,Cardiff Airport,220,12/30,EGFF,CWL,https://www.cardiff-airport.com/,,-3.343333333,51.396666666
http://www.wikidata.org/entity/Q8995,Guernsey Airport,102,09/27,EGJB,GCI,https://www.airport.gg/,,-2.601944444,49.435
http://www.wikidata.org/entity/Q8996,Doncaster Sheffield Airport,56,02/20,EGCN,DSA,,,-1.004166666,53.475277777
http://www.wikidata.org/entity/Q44877,Paro Airport,7332,15/33,VQPR,PBH,https://paroairport.com/,,89.420580555,27.408819444
http://www.wikidata.org/entity/Q44923,Addis Ababa Bole International Airport,7656,07R/25L,HAAB,ADD,https://boleairport.com/,,38.799444444,8.977777777
http://www.wikidata.org/entity/Q45000,Mitiga International Airport,11,10/28,HLLM,MJI,https://www.mitiga-airport.ly/,,13.277778,32.894445
http://www.wikidata.org/entity/Q8999,Exeter Airport,102,08/26,EGTE,EXT,https://www.exeter-airport.co.uk/,,-3.413888888,50.734444444
http://www.wikidata.org/entity/Q9001,Isle of Man Airport,52,03/21,EGNS,IOM,https://www.airport.im/,,-4.623888888,54.083333333
http://www.wikidata.org/entity/Q9064,Carrasco International Airport,32,01/19,SUMU,MVD,https://www.aeropuertodecarrasco.com.uy/,,-56.030833333,-34.838333333
